duplicate_title,duplicate_db,original_title,original_db,reason
Development and Implementation of an Ultrasound-Guided Peripheral Intravenous Catheter Education Program for Critical Care Nurses.,CINAHL,Development and Implementation of an Ultrasound-Guided Peripheral Intravenous Catheter Education Program for Critical Care Nurses.,PubMed,DOI match: 10.1097/dcc.0000000000000528
Introducing an ultrasound-guided longer length peripheral IV catheter for patients with difficult venous access.,CINAHL,Introducing an ultrasound-guided longer length peripheral IV catheter for patients with difficult venous access.,PubMed,Title similarity (1.00): 'Introducing an ultrasound-guided longer length peripheral IV...'
Recent Advances in Ultrasound-Guided Peripheral Intravenous Catheter Insertion.,CINAHL,Recent Advances in Ultrasound-Guided Peripheral Intravenous Catheter Insertion.,PubMed,DOI match: 10.3390/nursrep15100359
Ultrasound-guided PIVC insertion: a randomised controlled trial protocol.,CINAHL,Ultrasound-guided PIVC insertion: a randomised controlled trial protocol.,PubMed,DOI match: 10.12968/bjon.2023.32.14.s22
Evaluation of extended-length cannula inserted using ultrasound guidance in patients with difficult IV access.,CINAHL,Evaluation of extended-length cannula inserted using ultrasound guidance in patients with difficult IV access.,PubMed,DOI match: 10.12968/bjon.2023.32.14.s14
Introducing an ultrasound-guided longer length peripheral IV catheter for patients with difficult venous access.,CINAHL,Introducing an ultrasound-guided longer length peripheral IV catheter for patients with difficult venous access.,PubMed,DOI match: 10.12968/bjon.2024.33.7.s4
Extravasation Risk Using Ultrasound-guided Peripheral Intravenous Catheters for Computed Tomography Contrast Administration.,CINAHL,Extravasation Risk Using Ultrasound-guided Peripheral Intravenous Catheters for Computed Tomography Contrast Administration.,PubMed,DOI match: 10.1111/acem.13000
Point-of-Care Ultrasound Use in Neonatal Peripheral Intravenous Extravasation Injuries: A Case Series.,CINAHL,Point-of-Care Ultrasound Use in Neonatal Peripheral Intravenous Extravasation Injuries: A Case Series.,PubMed,DOI match: 10.1097/won.0000000000000475
The Effect of Catheter Length Placed Into the Vein on Peripheral Ultrasound-Guided Catheter Survival Time: A Prospective Observational Study.,CINAHL,The Effect of Catheter Length Placed Into the Vein on Peripheral Ultrasound-Guided Catheter Survival Time: A Prospective Observational Study.,PubMed,DOI match: 10.1016/j.jen.2020.05.015
Standard long IV catheters versus extended dwell catheters: A randomized comparison of ultrasound-guided catheter survival.,CINAHL,Standard long IV catheters versus extended dwell catheters: A randomized comparison of ultrasound-guided catheter survival.,PubMed,DOI match: 10.1016/j.ajem.2018.07.031
Ultrasound-detected venous changes associated with peripheral intravenous placement in children.,CINAHL,Ultrasound-detected venous changes associated with peripheral intravenous placement in children.,PubMed,DOI match: 10.12968/bjon.2020.29.8.s44
The Midline Catheter Within the Context of Home Intravenous Antibiotic Treatment.,CINAHL,The Midline Catheter Within the Context of Home Intravenous Antibiotic Treatment,Embase,DOI match: 10.1097/nan.0000000000000559
Ultrasound-Detected Venous Changes Associated with Peripheral Intravenous Placement in Children.,CINAHL,Ultrasound-detected venous changes associated with peripheral intravenous placement in children.,PubMed,Title similarity (1.00): 'Ultrasound-Detected Venous Changes Associated with Periphera...'
Outcomes of Using a Modified Seldinger Technique for Long Term Intravenous Therapy in Hospitalized Patients with Difficult Venous Access.,CINAHL,Outcomes of using a modified seldinger technique for long term intravenous therapy in hospitalized patients with difficult venous access,Embase,DOI match: 10.2309/java.17-1-3
A Retrospective Look at Peripheral Intravenous Catheter (PIVC) Dwell Times in Pediatric Population.,CINAHL,A retrospective look at peripheral intravenous catheter (PIVC) Dwell Times in Pediatric Population,Embase,DOI match: 10.2309/java-d-23-00025
"Long guidewire peripheral intravenous catheters in emergency departments for management of difficult intravenous access: A multicenter, pragmatic, randomized controlled trial.",CINAHL,"Long guidewire peripheral intravenous catheters in emergency departments for management of difficult intravenous access: A multicenter, pragmatic, randomized controlled trial.",PubMed,DOI match: 10.1111/acem.15004
Operation STICK Improves Vascular Access Outcomes in a Specialty Team: A Quasi-Experimental Study.,CINAHL,Operation STICK Improves Vascular Access Outcomes in a Specialty Team: A Quasi-Experimental Study.,PubMed,DOI match: 10.1097/ncq.0000000000000801
Ultrasound-guided peripheral intravenous access in the intensive care unit.,CINAHL,Ultrasound-guided peripheral intravenous access in the intensive care unit.,PubMed,DOI match: 10.1016/j.jcrc.2009.09.003
Extended dwell and standard ultrasound guided peripheral intravenous catheters: Comparison of durability and reliability.,CINAHL,Extended dwell and standard ultrasound guided peripheral intravenous catheters: Comparison of durability and reliability.,PubMed,DOI match: 10.1016/j.ajem.2021.05.005
The Utility and Survivorship of Peripheral Intravenous Catheters Inserted in the Emergency Department.,CINAHL,The Utility and Survivorship of Peripheral Intravenous Catheters Inserted in the Emergency Department.,PubMed,DOI match: 10.1016/j.annemergmed.2019.02.003
Ultrasound-Guided Great Saphenous Vein Access: Revisiting an Old Friend in a New Location.,CINAHL,Ultrasound-Guided Great Saphenous Vein Access: Revisiting an Old Friend in a New Location.,PubMed,DOI match: 10.1016/j.jemermed.2021.10.006
Catheter Length In-Vein Impacts Ultrasound-Guided Peripheral Intravenous Catheter Survival.,CINAHL,Catheter Length In-Vein Impacts Ultrasound-Guided Peripheral Intravenous Catheter Survival.,PubMed,DOI match: 10.1016/j.jen.2021.06.001
Success of Ultrasound-guided Peripheral Intravenous Access with Skin Marking.,CINAHL,Success of ultrasound-guided peripheral intravenous access with skin marking.,PubMed,DOI match: 10.1111/j.1553-2712.2008.00174.x
"Incidence, causes, and timing of peripheral intravenous catheter failure related to insertion timing in the treatment cycle in patients with hematological malignancies: A prospective descriptive study.",CINAHL,"Incidence, causes, and timing of peripheral intravenous catheter failure related to insertion timing in the treatment cycle in patients with hematological malignancies: A prospective descriptive study.",PubMed,DOI match: 10.1111/jjns.12484
Ultrasonography-Guided Peripheral Intravenous Access: Regular Technique Versus Seldinger Technique in Patients with Difficult Vascular Access.,CINAHL,Ultrasonography-guided peripheral intravenous access: Regular technique versus seldinger technique in patients with difficult vascular access,Embase,DOI match: 10.29333/ejgm/82434
"Impact of Different Flushing Frequencies on Peripheral Intravenous Catheter Failure, Coagulation, and Tissue Injury-A Counterbalanced Preclinical Human Trial.",CINAHL,"Impact of Different Flushing Frequencies on Peripheral Intravenous Catheter Failure, Coagulation, and Tissue Injury—A Counterbalanced Preclinical Human Trial",Embase,DOI match: 10.2309/java-d-22-00006
Ultrasonography-guided peripheral intravenous catheter survival in ED patients with difficult access.,CINAHL,Ultrasonography-guided peripheral intravenous catheter survival in ED patients with difficult access.,PubMed,DOI match: 10.1016/j.ajem.2008.09.001
Ultrasonographic assessment of an induration caused by extravasation of a nonvesicant anticancer drug: A case report.,CINAHL,Ultrasonographic assessment of an induration caused by extravasation of a nonvesicant anticancer drug: A case report.,PubMed,DOI match: 10.1097/md.0000000000015043
Ultralong Versus Standard Long Peripheral Intravenous Catheters: A Randomized Controlled Trial of Ultrasonographically Guided Catheter Survival.,CINAHL,Ultralong Versus Standard Long Peripheral Intravenous Catheters: A Randomized Controlled Trial of Ultrasonographically Guided Catheter Survival.,PubMed,DOI match: 10.1016/j.annemergmed.2019.11.013
Damage to subcutaneous tissue at the catheterization site during chemotherapy: A prospective observational study using ultrasonography.,CINAHL,Damage to subcutaneous tissue at the catheterization site during chemotherapy: A prospective observational study using ultrasonography.,PubMed,DOI match: 10.1111/jjns.12436
Continuous thermographic observation may predict extravasation in chemotherapy-treated patients.,CINAHL,Continuous thermographic observation may predict extravasation in chemotherapy-treated patients.,PubMed,DOI match: 10.1016/j.ejon.2017.02.009
Ultrasonographic Detection of Micro-Bubbles in the Right Atrium to Confirm Peripheral Venous Catheter Position in Children.,CINAHL,Ultrasonographic Detection of Micro-Bubbles in the Right Atrium to Confirm Peripheral Venous Catheter Position in Children.,PubMed,DOI match: 10.1097/ccm.0000000000003916
273 Contrast Extravasation Prevalence in Emergency Department Patients With Ultrasound-Guided Peripheral Intravenous Catheters.,CINAHL,Contrast extravasation prevalence in emergency department patients with ultrasound-guided peripheral intravenous catheters,Embase,Title similarity (0.92): '273 Contrast Extravasation Prevalence in Emergency Departmen...'
Ultrasonographically guided insertion of a 15-cm catheter into the deep brachial or basilic vein in patients with difficult intravenous access.,CINAHL,Ultrasonographically guided insertion of a 15-cm catheter into the deep brachial or basilic vein in patients with difficult intravenous access.,PubMed,Title similarity (1.00): 'Ultrasonographically guided insertion of a 15-cm catheter in...'
Confirming extravasation from a peripheral venous catheter: another role for ultrasonography.,CINAHL,Confirming extravasation from a peripheral venous catheter: another role for ultrasonography.,PubMed,DOI match: 10.1111/j.1365-2044.2012.07092.x
Central vein dilatation prior to concomitant port implantation.,CINAHL,Central vein dilatation prior to concomitant port implantation.,PubMed,DOI match: 10.1007/s00270-009-9699-z
The Midline Catheter: A Clinical Review.,CINAHL,The Midline Catheter: A Clinical Review.,PubMed,DOI match: 10.1016/j.jemermed.2016.05.029
Evaluation of a thermosensitive liquid crystal film for catheterization site assessment immediately following chemotherapy administration: An observational study.,CINAHL,Evaluation of a thermosensitive liquid crystal film for catheterization site assessment immediately following chemotherapy administration: An observational study.,PubMed,DOI match: 10.1016/j.ejon.2020.101802
